timestamp,sim_day,sim_hour,temp_C,pH,ec_mS,do_mg,ammonia_ppm,turbidity,light_klux,plant_gi,fish_gi
12:54:32,0,6.0,27.02,7.002,1.2,6.99,0.22,8.1,30.0,0.9717,0.7889
12:54:42,0,6.01,26.97,7.011,1.199,6.94,0.221,8.3,30.0,0.9718,0.7835
12:54:53,0,6.01,26.88,7.01,1.203,6.93,0.221,8.0,30.0,0.9728,0.7747
12:55:03,0,6.02,26.98,7.013,1.203,6.87,0.219,8.1,30.0,0.9715,0.7794
12:55:14,0,6.02,27.04,7.006,1.204,6.87,0.215,8.0,30.0,0.9714,0.7835
12:55:24,0,6.03,27.02,7.002,1.205,6.86,0.212,8.0,30.0,0.9718,0.7813
12:55:35,0,6.03,26.93,6.995,1.22,6.82,0.212,7.6,30.0,0.9725,0.7709
12:55:45,0,6.04,26.93,6.997,1.225,6.88,0.215,7.6,30.0,0.9729,0.7742
12:55:56,0,6.05,26.91,6.991,1.229,6.91,0.213,7.6,30.0,0.9734,0.7746
12:56:08,0,6.05,26.93,6.987,1.228,6.95,0.214,7.8,30.0,0.9732,0.7772
12:56:18,0,6.06,27.01,6.986,1.227,7.0,0.215,7.6,30.0,0.9726,0.7872
12:56:28,0,6.06,27.04,6.988,1.23,7.08,0.214,7.5,30.0,0.9723,0.7949
12:56:39,0,6.07,27.1,6.994,1.229,7.12,0.214,7.5,30.0,0.9714,0.803
12:56:50,0,6.07,27.06,6.995,1.229,7.14,0.213,7.6,30.0,0.9716,0.8017
12:57:00,0,6.08,27.12,6.99,1.236,7.24,0.211,7.4,30.0,0.9701,0.8118
12:57:10,0,6.08,27.17,6.996,1.241,7.29,0.213,7.3,30.0,0.9686,0.819
12:57:20,0,6.09,27.22,6.998,1.242,7.31,0.215,7.2,30.0,0.9676,0.8235
12:57:31,0,6.1,27.2,6.999,1.242,7.36,0.215,7.4,30.0,0.9666,0.8252
12:57:41,0,6.1,27.12,7.001,1.233,7.33,0.214,7.2,30.0,0.9683,0.8184
14:10:49,0,6.1,25.9,6.998,1.205,6.24,0.22,10.0,0.8,0.5411,0.6196
14:11:00,0,6.11,25.92,7.0,1.2,6.21,0.222,9.8,0.9,0.5408,0.6195
14:11:11,0,6.11,26.02,6.997,1.207,6.25,0.223,9.9,0.9,0.5427,0.6352
14:11:22,0,6.12,26.11,7.001,1.199,6.26,0.219,10.1,0.9,0.5437,0.6477
14:11:32,0,6.12,26.14,7.004,1.204,6.24,0.216,10.4,1.0,0.5438,0.6507
14:11:43,0,6.13,26.26,7.013,1.198,6.26,0.218,10.2,1.0,0.5449,0.6665
14:11:54,0,6.14,26.41,7.011,1.2,6.24,0.223,10.4,1.1,0.5447,0.6806
14:12:04,0,6.14,26.48,7.01,1.201,6.2,0.223,10.4,1.1,0.5442,0.6853
14:12:16,0,6.15,26.61,7.007,1.199,6.27,0.221,10.1,1.2,0.5467,0.7028
14:12:27,0,6.15,26.62,7.006,1.196,6.29,0.223,9.9,1.2,0.5478,0.7051
14:12:38,0,6.16,26.67,7.013,1.207,6.37,0.222,9.8,1.2,0.5506,0.7167
14:12:49,0,6.16,26.8,7.014,1.196,6.32,0.221,9.7,1.3,0.5496,0.725
14:13:00,0,6.17,26.88,7.018,1.192,6.33,0.222,10.0,1.3,0.55,0.7325
14:13:11,0,6.17,27.06,7.013,1.183,6.34,0.222,9.7,1.4,0.5501,0.7463
14:13:22,0,6.18,27.07,7.021,1.191,6.29,0.226,9.6,1.4,0.5494,0.7435
14:13:32,0,6.19,27.17,7.025,1.186,6.3,0.229,10.0,1.5,0.5494,0.7502
14:13:43,0,6.19,27.26,7.026,1.201,6.29,0.23,10.1,1.5,0.5495,0.7551
14:13:55,0,6.2,27.39,7.023,1.207,6.26,0.23,10.2,1.5,0.5485,0.7588
14:14:06,0,6.2,27.52,7.023,1.208,6.2,0.231,10.3,1.6,0.5463,0.7584
14:14:16,0,6.21,27.64,7.021,1.215,6.18,0.23,10.1,1.6,0.5455,0.7603
14:14:27,0,6.21,27.72,7.017,1.222,6.13,0.231,10.1,1.7,0.5441,0.757
14:14:38,0,6.22,27.81,7.017,1.236,6.08,0.237,10.4,1.7,0.5419,0.753
14:14:50,0,6.22,27.96,7.02,1.242,6.02,0.238,10.4,1.8,0.5393,0.7499
14:15:00,0,6.23,28.11,7.019,1.241,6.11,0.235,10.4,1.8,0.5414,0.7574
14:15:11,0,6.24,28.25,7.018,1.238,6.04,0.236,10.7,1.8,0.538,0.7489
14:15:22,0,6.24,28.4,7.018,1.245,6.04,0.234,11.0,1.9,0.537,0.7459
14:15:33,0,6.25,28.46,7.014,1.245,6.02,0.234,10.9,1.9,0.5361,0.7412
14:15:44,0,6.25,28.61,7.014,1.244,6.08,0.234,10.9,2.0,0.5369,0.7407
14:15:54,0,6.26,28.82,7.018,1.26,6.09,0.239,10.9,2.0,0.5351,0.7315
14:16:06,0,6.26,28.88,7.02,1.256,6.16,0.236,11.0,2.1,0.537,0.734
14:16:16,0,6.27,29.09,7.028,1.257,6.05,0.236,10.7,2.1,0.531,0.7111
14:16:26,0,6.27,29.28,7.027,1.275,6.05,0.235,10.6,2.2,0.5287,0.6958
14:16:37,0,6.28,29.45,7.025,1.277,6.01,0.231,10.5,2.2,0.5253,0.6775
14:16:48,0,6.29,29.64,7.028,1.273,5.89,0.23,10.8,2.2,0.5177,0.6482
14:16:58,0,6.29,29.71,7.024,1.279,5.92,0.23,10.9,2.3,0.5183,0.6428
14:17:08,0,6.3,29.9,7.027,1.291,5.99,0.225,10.9,2.3,0.518,0.6283
14:17:18,0,6.3,30.01,7.032,1.295,5.94,0.225,10.8,2.4,0.5145,0.6116
